matricula,codigo,disciplina,periodo,ano,curriculo,ch,nota,frequencia,status,tipo,observacao,natureza,situacaoDiscente,nomeTuma,codigoCurriculoSie
98,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2020,Sim,60,18,94,R-nota,TURMA,,Obrigatória,Registro ativo,A,21A
98,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,43,100,R-nota,TURMA,,Obrigatória,Registro ativo,B,21A
98,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2021,Sim,60,97,100,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
99,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,0,0,Matriculado,TURMA,,Obrigatória,Evasão,BCC2,21A
100,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,100,100,Aprovado,TURMA,,Obrigatória,Registro ativo,C,21A
101,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2016,Não,60,74,93,Aprovado,TURMA,,-,Registro ativo,B,21A
101,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
102,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2017,Sim,60,93,100,Aprovado,TURMA,,Obrigatória,Conclusão formatura,B,21A
103,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2017,Não,60,98,100,Aprovado,TURMA,,-,Conclusão formatura,D,21A
103,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Conclusão formatura,,21A
104,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2015,Sim,60,50,100,Aprovado,TURMA,,Obrigatória,Conclusão formatura,,21A
105,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,48,100,R-nota,TURMA,,Obrigatória,Registro ativo,D,21A
105,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2021,Sim,60,98,100,Aprovado,TURMA,,Obrigatória,Registro ativo,B,21A
106,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,0,0,Cancelado,TURMA,,Obrigatória,Registro ativo,E,21A
106,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2021,Sim,60,26,94,R-nota,TURMA,,Obrigatória,Registro ativo,B,21A
106,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,51,100,Aprovado,TURMA,,Obrigatória,Registro ativo,BCC2,21A
107,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,33,100,R-nota,TURMA,,Obrigatória,Registro ativo,E,21A
107,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2019,Sim,60,78,93,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
108,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,96,100,Aprovado,TURMA,,Obrigatória,Registro ativo,B,21A
109,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,90,100,Aprovado,TURMA,,Obrigatória,Registro ativo,C,21A
110,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,66,100,Aprovado,TURMA,,Obrigatória,Registro ativo,BCC3,21A
111,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,99,100,Aprovado,TURMA,,Obrigatória,Registro ativo,ERE 2 - A,21A
112,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,71,96,Aprovado,TURMA,,Obrigatória,Registro ativo,B,21A
113,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2017,Sim,60,81,100,Aprovado,TURMA,,Obrigatória,Conclusão formatura,D,21A
114,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,75,100,Aprovado,TURMA,,Obrigatória,Registro ativo,B,21A
115,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,53,90,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
116,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,70,90,Aprovado,TURMA,,Obrigatória,Registro ativo,B,21A
117,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,91,100,Aprovado,TURMA,,Obrigatória,Registro ativo,B,21A
118,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,96,100,Aprovado,TURMA,,Obrigatória,Registro ativo,D,21A
119,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,75,93,Aprovado,TURMA,,Obrigatória,Registro ativo,D,21A
120,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,70,96,Aprovado,TURMA,,Obrigatória,Registro ativo,D,21A
121,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,93,100,Aprovado,TURMA,,Obrigatória,Registro ativo,BCC4,21A
122,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,0,0,R-freq,TURMA,,Obrigatória,Trancamento,E,21A
122,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2021,Sim,60,7,87,R-nota,TURMA,,Obrigatória,Trancamento,B,21A
123,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,92,96,Aprovado,TURMA,,Obrigatória,Registro ativo,D,21A
124,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2017,Não,60,94,100,Aprovado,TURMA,,-,Registro ativo,B,21A
124,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
125,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,97,100,Aprovado,TURMA,,Obrigatória,Registro ativo,BCC5,21A
126,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2018,Não,60,75,100,Aprovado,TURMA,,-,Registro ativo,D,21A
126,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
127,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2018,Não,60,60,96,Aprovado,TURMA,,-,Registro ativo,A,21A
127,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
128,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,60,76,Aprovado,TURMA,,Obrigatória,Registro ativo,B,21A
129,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2015,Sim,60,50,93,Aprovado,TURMA,,Obrigatória,Evasão,,21A
130,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2017,Não,60,100,100,Aprovado,TURMA,,-,Registro ativo,B,21A
130,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
131,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,26,100,R-nota,TURMA,,Obrigatória,Registro ativo,BCC1,21A
131,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2022,Sim,60,0,0,Matriculado,TURMA,,Obrigatória,Registro ativo,BCC1,21A
132,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2015,Sim,60,36,96,R-nota,TURMA,A,Obrigatória,Conclusão formatura,,21A
132,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,2,2015,Sim,60,80,96,Aprovado,TURMA,B,Obrigatória,Conclusão formatura,,21A
133,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,0,0,R-freq,TURMA,,Obrigatória,Registro ativo,B,21A
133,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,0,0,R-freq,TURMA,,Obrigatória,Registro ativo,BCC4,21A
134,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,14,100,R-nota,TURMA,,Obrigatória,Registro ativo,C,21A
134,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2021,Sim,60,90,100,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
135,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2020,Sim,60,83,87,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
135,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,32,100,R-nota,TURMA,,Obrigatória,Registro ativo,C,21A
136,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,65,100,Aprovado,TURMA,,Obrigatória,Registro ativo,ERE 2 - D,21A
137,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,0,100,Matriculado,TURMA,C,Obrigatória,Evasão,,21A
138,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,90,R-nota,TURMA,,Obrigatória,Evasão,A,21A
138,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2019,Sim,60,15,96,R-nota,TURMA,,Obrigatória,Evasão,A,21A
138,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,0,0,R-freq,TURMA,,Obrigatória,Evasão,A,21A
139,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2017,Não,60,91,100,Aprovado,TURMA,,-,Registro ativo,B,21A
139,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
140,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2018,Não,60,70,100,Aprovado,TURMA,,-,Registro ativo,D,21A
140,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
141,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Trancamento,,21A
142,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2015,Sim,60,73,96,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
143,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2018,Não,60,75,90,Aprovado,TURMA,,-,Registro ativo,D,21A
143,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
144,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2021,Sim,60,73,100,Aprovado,TURMA,,Obrigatória,Registro ativo,D,21A
145,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2017,Sim,60,89,93,Aprovado,TURMA,,Obrigatória,Conclusão formatura,,21A
146,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2017,Sim,60,84,93,Aprovado,TURMA,,Obrigatória,Conclusão formatura,,21A
147,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2016,Sim,60,51,96,Aprovado,TURMA,C,Obrigatória,Conclusão formatura,,21A
148,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,85,100,Aprovado,TURMA,,Obrigatória,Registro ativo,ERE 2 - B,21A
149,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2016,Não,60,22,83,R-nota,TURMA,,-,Trancamento,D,21A
149,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,2,2016,Não,60,91,86,Aprovado,TURMA,,-,Trancamento,C,21A
149,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Trancamento,,21A
150,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2018,Não,60,70,100,Aprovado,TURMA,,-,Registro ativo,D,21A
150,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
151,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2016,Sim,60,80,96,Aprovado,TURMA,,Obrigatória,Conclusão formatura,,21A
152,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2018,Não,60,88,93,Aprovado,TURMA,,-,Registro ativo,A,21A
152,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
153,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,71,100,Aprovado,TURMA,,Obrigatória,Registro ativo,D,21A
154,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2017,Sim,60,100,90,Aprovado,TURMA,,Obrigatória,Conclusão formatura,D,21A
155,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2018,Não,60,71,100,Aprovado,TURMA,,-,Registro ativo,B,21A
155,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
156,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,70,100,Aprovado,TURMA,,Obrigatória,Registro ativo,BCC3,21A
157,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2021,Sim,60,71,100,Aprovado,TURMA,,Obrigatória,Registro ativo,D,21A
158,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2016,Sim,60,70,93,Aprovado,TURMA,,Obrigatória,Registro ativo,B,21A
159,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,70,100,Aprovado,TURMA,,Obrigatória,Registro ativo,ERE 2 - B,21A
160,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,60,100,Aprovado,TURMA,,Obrigatória,Registro ativo,BCC2,21A
161,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2016,Sim,60,79,86,Aprovado,TURMA,C,Obrigatória,Conclusão formatura,,21A
162,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2017,Não,60,26,90,R-nota,TURMA,,-,Registro ativo,D,21A
162,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,2,2017,Não,60,73,93,Aprovado,TURMA,,-,Registro ativo,B,21A
162,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
163,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,40,R-freq,TURMA,,Obrigatória,Evasão,,21A
163,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2019,Sim,60,0,0,R-freq,TURMA,,Obrigatória,Evasão,,21A
164,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,85,100,Aprovado,TURMA,,Obrigatória,Registro ativo,E,21A
165,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,91,93,Aprovado,TURMA,,Obrigatória,Registro ativo,D,21A
166,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2016,Não,60,57,86,Aprovado,TURMA,C,-,Evasão,,21A
166,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Evasão,,21A
167,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,85,100,Aprovado,TURMA,,Obrigatória,Registro ativo,BCC3,21A
168,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,89,100,Aprovado,TURMA,,Obrigatória,Registro ativo,D,21A
169,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2018,Não,60,70,93,Aprovado,TURMA,,-,Registro ativo,A,21A
169,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
170,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2018,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Conclusão formatura,,21A
171,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2021,Sim,60,54,90,Aprovado,TURMA,,Obrigatória,Registro ativo,D,21A
172,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,80,100,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
173,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,0,37,R-freq,TURMA,,Obrigatória,Registro ativo,BCC5,21A
174,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,98,100,Aprovado,TURMA,,Obrigatória,Registro ativo,ERE 2 - D,21A
175,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,44,100,R-nota,TURMA,,Obrigatória,Registro ativo,C,21A
175,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2022,Sim,60,0,0,Matriculado,TURMA,,Obrigatória,Registro ativo,BCC1,21A
176,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,13,100,R-nota,TURMA,,Obrigatória,Registro ativo,E,21A
176,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2019,Sim,60,54,90,Aprovado,TURMA,,Obrigatória,Registro ativo,B,21A
177,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2015,Sim,60,70,100,Aprovado,TURMA,,Obrigatória,Conclusão formatura,,21A
178,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,91,100,Aprovado,TURMA,,Obrigatória,Registro ativo,BCC4,21A
179,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2018,Não,60,51,100,Aprovado,TURMA,,-,Registro ativo,D,21A
179,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
180,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,70,100,Aprovado,TURMA,,Obrigatória,Registro ativo,D,21A
181,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2015,Sim,60,87,83,Aprovado,TURMA,,Obrigatória,Conclusão formatura,A,21A
182,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,89,100,Aprovado,TURMA,,Obrigatória,Trancamento,ERE 2 - B,21A
183,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,29,97,R-nota,TURMA,,Obrigatória,Registro ativo,BCC5,21A
183,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2022,Sim,60,0,0,Matriculado,TURMA,,Obrigatória,Registro ativo,BCC1,21A
184,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2017,Sim,60,70,100,Aprovado,TURMA,,Obrigatória,Conclusão formatura,,21A
185,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,16,93,R-nota,TURMA,,Obrigatória,Registro ativo,D,21A
185,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2019,Sim,60,84,96,Aprovado,TURMA,,Obrigatória,Registro ativo,B,21A
186,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2015,Sim,60,60,100,Aprovado,TURMA,B,Obrigatória,Conclusão formatura,,21A
187,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2018,Não,60,71,93,Aprovado,TURMA,,-,Registro ativo,B,21A
187,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
188,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,50,100,Aprovado,TURMA,,Obrigatória,Registro ativo,E,21A
189,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2013,Sim,60,8,100,R-nota,TURMA,,Obrigatória,Evasão,,21A
189,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,2,2013,Sim,60,94,93,Aprovado,TURMA,,Obrigatória,Evasão,,21A
190,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2018,Não,60,30,93,R-nota,TURMA,,-,Registro ativo,D,21A
190,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,2,2018,Não,60,71,100,Aprovado,TURMA,,-,Registro ativo,A,21A
190,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
191,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2016,Sim,60,78,100,Aprovado,TURMA,C,Obrigatória,Conclusão formatura,,21A
192,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2017,Não,60,0,0,Aprovado,EQUIVALENCIA,,-,Registro ativo,,21A
192,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
193,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,65,100,Aprovado,TURMA,,Obrigatória,Registro ativo,D,21A
194,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,83,100,Aprovado,TURMA,,Obrigatória,Registro ativo,E,21A
195,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,70,100,Aprovado,TURMA,,Obrigatória,Registro ativo,ERE 2 - B,21A
196,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,35,100,R-nota,TURMA,,Obrigatória,Registro ativo,BCC4,21A
196,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2022,Sim,60,0,0,Matriculado,TURMA,,Obrigatória,Registro ativo,BCC1,21A
197,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2011,Sim,60,50,96,Aprovado,TURMA,,Obrigatória,Conclusão formatura,,21A
198,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2018,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Trancamento,,21A
199,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2016,Sim,60,70,90,Aprovado,TURMA,,Obrigatória,Conclusão formatura,D,21A
200,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2016,Sim,60,94,100,Aprovado,TURMA,B,Obrigatória,Conclusão formatura,,21A
201,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,73,100,Aprovado,TURMA,,Obrigatória,Registro ativo,BCC1,21A
202,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,100,100,Aprovado,TURMA,,Obrigatória,Registro ativo,E,21A
203,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2020,Sim,60,100,94,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
204,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,83,100,Aprovado,TURMA,,Obrigatória,Registro ativo,BCC2,21A
205,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,0,100,R-nota,TURMA,,Obrigatória,Registro ativo,ERE 2 - A,21A
205,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,77,100,Aprovado,TURMA,,Obrigatória,Registro ativo,D,21A
206,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,71,100,Aprovado,TURMA,,Obrigatória,Evasão,,21A
207,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,74,96,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
208,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2018,Não,60,3,96,R-nota,TURMA,,-,Evasão,B,21A
208,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,2,2018,Não,60,27,100,R-nota,TURMA,,-,Evasão,A,21A
208,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,27,80,R-nota,TURMA,,Obrigatória,Evasão,D,21A
208,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2019,Sim,60,33,86,R-nota,TURMA,,Obrigatória,Evasão,A,21A
208,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,0,0,Cancelado,TURMA,,Obrigatória,Evasão,ERE 2 - A,21A
209,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2016,Sim,60,55,86,Aprovado,TURMA,,Obrigatória,Conclusão formatura,,21A
210,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,74,100,Aprovado,TURMA,,Obrigatória,Registro ativo,BCC3,21A
211,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2021,Sim,60,34,75,R-nota,TURMA,,Obrigatória,Registro ativo,B,21A
211,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2,2021,Sim,60,81,100,Aprovado,TURMA,,Obrigatória,Registro ativo,A,21A
212,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,0,100,Matriculado,TURMA,D,Obrigatória,Evasão,,21A
213,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2017,Não,60,40,83,R-nota,TURMA,,-,Trancamento,D,21A
213,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,2,2017,Não,60,80,100,Aprovado,TURMA,,-,Trancamento,A,21A
213,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Trancamento,,21A
214,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Evasão,,21A
215,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2020,Sim,60,98,100,Aprovado,TURMA,,Obrigatória,Registro ativo,C,21A
216,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,1,2018,Não,60,27,100,R-nota,TURMA,,-,Registro ativo,D,21A
216,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,2,2018,Não,60,51,90,Aprovado,TURMA,,-,Registro ativo,B,21A
216,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2019,Sim,60,0,0,Aprovado,EQUIVALENCIA,,Obrigatória,Registro ativo,,21A
217,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,1,2022,Sim,60,91,94,Aprovado,TURMA,,Obrigatória,Registro ativo,BCC4,21A
